London,LHR,51.4700,-0.4543
New York,JFK,40.6413,-73.7781
Tokyo,HND,35.5494,139.7798
Paris,CDG,49.0097,2.5479
Los Angeles,LAX,33.9416,-118.4085
Dubai,DXB,25.2532,55.3657
Singapore,SIN,1.3644,103.9915City,AirportCode,Latitude,Longitude
Bali,DPS,-8.7481,115.1672
Bangkok,BKK,13.6900,100.7501
Bắc Kinh,PEK,40.0801,116.5845
Buôn Ma Thuột,BMV,12.6689,108.1192
Busan,PUS,35.1790,128.9408
Cà Mau,CAH,9.1783,105.1783
Cần Thơ,VCA,10.0852,105.7119
Cao Hùng,KHH,22.5765,120.3497
Thành Đô,CTU,30.5785,103.9470
Côn Đảo,VCS,8.7311,106.6328
Chu Lai,VCL,15.4058,108.7086
Đà Lạt,DLI,11.7500,108.3667
Đà Nẵng,DAD,16.0439,108.1994
Điện Biên Phủ,DIN,21.3977,103.0085
Đồng Hới,VDH,17.5150,106.5906
Frankfurt,FRA,50.0379,8.5622
Fukuoka,FUK,33.5860,130.4507
Hải Phòng,HPH,20.8192,106.7253
Hàng Châu,HGH,30.2295,120.4342
Hà Nội,HAN,21.2212,105.8072
Thành phố Hồ Chí Minh,SGN,10.8189,106.6519
Hồng Kông,HKG,22.3080,113.9185
Huế,HUI,16.4019,107.7033
Jakarta,CGK,-6.1256,106.6559
Kuala Lumpur,KUL,2.7456,101.7099
Lan Châu,LHW,36.5147,103.6194
Luân Đôn,LHR,51.4700,-0.4543
Los Angeles,LAX,33.9416,-118.4085
Luang Prabang,LPQ,19.8975,102.1617
Ma Cao,MFM,22.1496,113.5914
Melbourne,MEL,-37.6733,144.8433
Muan,MWX,34.9914,126.3825
Nagoya,NGO,34.8584,136.8054
Nam Kinh,NKG,31.7420,118.8619
Nha Trang,CXR,11.9981,109.2195
Osaka,KIX,34.4347,135.2444
Paris,CDG,49.0097,2.5479
Phnôm Pênh,PNH,11.5465,104.8441
Phú Quốc,PQC,10.1695,103.9930
Phuket,HKT,8.1132,98.3169
Pleiku,PXU,14.0042,108.0186
Quảng Châu,CAN,23.3924,113.2988
Qui Nhơn,UIH,13.9561,109.0422
Rạch Giá,VKG,9.9570,105.1312
San Francisco,SFO,37.6213,-122.3790
New York,JFK,40.6413,-73.7781
Seoul,ICN,37.4691,126.4505
Singapore,SIN,1.3644,103.9915
Sydney,SYD,-33.9461,151.1772
Tế Nam,TNA,36.8571,117.2159
Thượng Hải,PVG,31.1434,121.8053
Thạch Gia Trang,SJW,38.2809,114.6973
Đài Trung,RMQ,24.2645,120.6570
Đài Bắc,TPE,25.0798,121.2338
Thanh Hóa,THD,19.9019,105.6064
Tokyo,HND,35.5494,139.7798
Tokyo,NRT,35.7656,140.3864
Tuy Hòa,TBB,13.0475,109.3333
Vancouver,YVR,49.1947,-123.1839
Viêng Chăn,VTE,17.9881,102.5635
Vân Đồn,VDO,21.1203,107.4136
Hạ Môn,XMN,24.5442,118.1278
Xiêm Riệp,REP,13.4107,103.8129
Yangon,RGN,16.9073,96.1332